	C3L.00104	C3L.00365	C3L.00674	C3L.00677	C3L.01040	C3L.01043	C3L.01045	C3L.01046	C3L.01048	C3L.01049	C3L.01061	C3L.01142	C3L.01146	C3L.01149	C3L.01154	C3L.01155	C3L.01156	C3L.01157	C3L.01327	C3L.01887	C3L.02465	C3L.02504	C3L.02542	C3L.02642	C3L.02704	C3L.02705	C3L.02707	C3L.02955	C3L.02970	C3L.03260	C3L.03266	C3L.03387	C3L.03390	C3L.03392	C3L.03400	C3L.03405	C3L.03407	C3L.03681	C3L.03727	C3L.03728	C3L.03744	C3L.03748	C3L.03968	C3L.04084	C3N.00661	C3N.00662	C3N.00665	C3N.01192	C3N.01196	C3N.01334	C3N.01364	C3N.01366	C3N.01367	C3N.01368	C3N.01369	C3N.01505	C3N.01515	C3N.01517	C3N.01518	C3N.01798	C3N.01814	C3N.01815	C3N.01816	C3N.01818	C3N.01851	C3N.01852	C3N.01856	C3N.01857	C3N.02181	C3N.02183	C3N.02185	C3N.02186	C3N.02188	C3N.02190	C3N.02255	C3N.02256	C3N.02769	C3N.02770	C3N.02782	C3N.02783	C3N.02784	C3N.02785	C3N.02786	C3N.02788	C3N.03088	C3N.03180	C3N.03182	C3N.03183	C3N.03184	C3N.03186	C3N.03188	C3N.03473
P04217	0.4	-0.550943396	3.295081967	-0.280230326	-3.072874494	4.365461847	-0.136075949	-1.094224924	-1.275974026	-0.057142857	-0.521229868	-1.086956522	-1.800813008	-1.807086614	-1.855384615	-2.655319149	-5.099009901	-0.720930233	-0.693396226	-1.496124031	-0.141630901	2.736318408	0.340136054	-1.899193548	-1.351239669	2.358024691	-2.599009901	3.84501845	-1.323651452	-3.455555556	0.425641026	-3.051851852	-3.370588235	-0.313131313	1.615107914	1.477678571	4.907079646	-0.062068966	0.6875	2.64573991	0.248927039	0.219626168	1.735849057	-1.704	2.18079096	0.9875	2.117924528	2.751219512	-0.722222222	3.876623377	1.273743017	0.922098569	2.201612903	-1.498054475	5.727941176	1.638686131	0.534188034	-1.244525547	4.669683258	-0.858536585	2.578680203	2.881516588	-0.868656716	-1.650943396	0.846153846	-6.213114754	2.304487179	-2.249146758	7.270588235	1.421428571	2.310526316	0.148148148	1.463963964	2.532407407	-1.704761905	-2.760638298	4.190871369	2.40952381	0.918287938	4.309236948	-1.209302326	0.95049505	1.816753927	-1.052980132	0.788732394	3.518394649	-0.968899522	0.639534884	-1.779369628	2.966666667	-0.240174672	-2.348525469
P01023	2.259090909	3.01509434	4.418032787	0.464491363	-4.157894737	3.0562249	-2.376582278	-0.066869301	-1.568181818	-1.139047619	0.693997072	-2.437888199	-2.085365854	-1.633858268	-1.126153846	-3.906382979	-4.613861386	3.160676533	-0.221698113	-0.600775194	0.420600858	-0.024875622	-0.18707483	-0.766129032	-0.809917355	2.748971193	-2.183168317	4.442804428	-0.854771784	-1.216666667	0.328205128	-1.207407407	-3.482352941	1.525252525	2.773381295	2.151785714	5.721238938	-1.579310345	-0.086538462	2.219730942	-0.429184549	-1.911214953	3.161725067	-2.144	1.310734463	-1.154166667	-0.20754717	1.126829268	-0.446969697	0.5	0.44972067	0.756756757	3.608870968	-0.739299611	7.345588235	2.251824818	2.803418803	-0.974452555	4.185520362	-1.892682927	3.121827411	4.464454976	0.226865672	0.023584906	1.5625	0.770491803	2.358974359	-1.696245734	7.011764706	3.110714286	2.931578947	1.703703704	-1.594594595	2.828703704	-0.482539683	-0.138297872	1.962655602	3.028571429	-0.439688716	5.634538153	0.701550388	2.267326733	2.641361257	-1.09602649	2.36056338	3.872909699	-1.708133971	1.209302326	-1.332378223	3.680952381	-2.279475983	-0.831099196
Q9NRG9	-1.109090909	0.694339623	-0.459016393	0.153550864	-0.858299595	-0.076305221	0.351265823	0.778115502	0.681818182	0.373333333	0.137628111	0.627329193	0.890243902	0.13976378	1.098461538	-0.004255319	0.628712871	-0.644820296	0.344339623	-0.085271318	-0.721030043	1.223880597	1.455782313	-0.225806452	-0.070247934	0.353909465	0.891089109	-0.217712177	1.070539419	0.383333333	-0.153846154	-0.477777778	1.438235294	-0.794612795	-0.064748201	1.901785714	-0.398230088	-0.617241379	0.3125	-0.825112108	0.622317597	0.088785047	0.644204852	0.064	0.516007533	0.395833333	0.075471698	0.551219512	1.113636364	-0.136363636	-0.030726257	-0.410174881	-0.262096774	0.381322957	0.022058824	-0.193430657	-0.508547009	1.354014599	0.212669683	0.941463415	-0.162436548	-0.27014218	0.826865672	-1.122641509	-0.629807692	0.224043716	0.006410256	-0.122866894	-0.309803922	-0.046428571	-0.147368421	-1.024691358	-0.076576577	1.555555556	-0.142857143	0.345744681	0.713692946	0.50952381	1.879377432	-1.365461847	0.11627907	1.207920792	1.376963351	-1.235099338	-1.45915493	-0.571906355	0.724880383	1.188953488	1.893982808	-1.076190476	-1.152838428	1.144772118
Q86V21	-0.609090909	-1.777358491	-0.508196721	-0.483685221	-2.79757085	-0.642570281	-0.949367089	0.510638298	-0.100649351	-0.579047619	-0.491947291	-1.854037267	0.430894309	-0.293307087	-1.526153846	-1.663829787	1.242574257	-0.276955603	-0.962264151	1.131782946	0.793991416	-1.024875622	0.163265306	0.866935484	-0.157024793	2.156378601	-2.603960396	0.339483395	-0.112033195	-1.594444444	1.384615385	-0.092592593	1.147058824	0.845117845	-1.305755396	-2.352678571	0.110619469	0.917241379	-1.600961538	-0.717488789	2.180257511	-0.73364486	-1.277628032	0.124	-0.376647834	1.541666667	1.240566038	-0.653658537	1.282828283	-0.402597403	-1.536312849	1.227344992	0.802419355	0.614785992	-0.136029412	-0.474452555	0.833333333	-0.711678832	-1.375565611	-0.629268293	1.426395939	-2.137440758	-1.641791045	0.462264151	-1.605769231	-0.475409836	0.836538462	0.754266212	0.11372549	-1.796428571	0.142105263	-0.185185185	1.315315315	0.259259259	-0.447619048	0.260638298	0.991701245	2.261904762	-0.354085603	-1.008032129	0.755813953	0.633663366	0.955497382	0.61589404	1.152112676	0.163879599	1.246411483	0.851744186	-0.103151862	0.271428571	-0.746724891	-1.466487936
Q8N5Z0	2.554545455	NA	0.274590164	0.879078695	0.765182186	-1.86746988	-2.009493671	-1.486322188	-0.935064935	NA	0.292825769	-0.201863354	NA	2.651574803	-1.753846154	0.421276596	-1.851485149	-0.640591966	0.023584906	0.705426357	NA	0.104477612	0.93537415	NA	1.08677686	4.728395062	0.252475248	-1.601476015	-0.526970954	-0.533333333	NA	0.092592593	-1.247058824	0.912457912	1.18705036	-2.071428571	-0.933628319	-0.54137931	-0.014423077	-1.461883408	3.879828326	NA	-0.417789757	-2.076	2.436911488	-0.333333333	-1.306603774	-1.570731707	-2.76010101	-3.428571429	NA	-0.317965024	-1.931451613	-0.739299611	NA	1.251824818	0.683760684	-2.602189781	-0.678733032	NA	0.487309645	-1.317535545	NA	0.429245283	NA	-1.333333333	-0.833333333	-1.767918089	-2.247058824	0.421428571	NA	-0.87037037	0.396396396	-1.203703704	0.088888889	0.329787234	0.585062241	NA	-1.062256809	NA	-0.492248062	0.079207921	-0.821989529	0.215231788	0.425352113	1.030100334	1.535885167	0.194767442	-1.223495702	1.476190476	0.641921397	NA
Q6PD74	-2.077272727	0.924528302	-1.090163934	1.136276392	-0.190283401	-0.457831325	0.481012658	-0.358662614	-0.146103896	0.392380952	-0.775988287	0.217391304	0.56097561	0.165354331	-1.150769231	-0.153191489	-0.618811881	0.230443975	-1.405660377	-0.57751938	-0.266094421	0.402985075	2.074829932	0.528225806	-0.289256198	-0.004115226	-2.47029703	0.298892989	-0.829875519	-2.094444444	-2.251282051	1	0.247058824	1.973063973	-0.697841727	0.290178571	1.163716814	0.355172414	0.673076923	1.434977578	0.854077253	-2.392523364	-0.913746631	-0.496	0.11299435	-0.45	0.948113208	-0.204878049	1.03030303	-0.88961039	0.969273743	1.173290938	0.108870968	0.59922179	-0.547794118	0.48540146	-0.965811966	-0.843065693	0.959276018	0.009756098	-1.852791878	0.72985782	1.940298507	1.231132075	-1.485576923	0.12568306	1.118589744	-1.662116041	-1.035294118	-0.203571429	-0.036842105	-0.086419753	0.36036036	0.365740741	0.596825397	-2.335106383	0.008298755	1.80952381	-2.361867704	-0.963855422	1.313953488	-0.514851485	0.481675393	-0.798013245	-0.563380282	-1.321070234	-0.119617225	0.566860465	0.020057307	-0.947619048	-2.144104803	1.195710456
Q2M2I8	-0.363636364	-2.301886792	-0.016393443	1.20537428	1.417004049	-1.751004016	-0.398734177	0.632218845	-1.775974026	-1.459047619	-1.361639824	1.096273292	1.394308943	0.346456693	-1.916923077	2.106382979	0.301980198	3.765327696	-0.933962264	3.093023256	0.291845494	-1.895522388	-1.289115646	1.443548387	0.161157025	0.279835391	-0.034653465	1.929889299	-0.215767635	2.244444444	-1.605128205	1.948148148	-1.985294118	-0.723905724	-0.539568345	-1.46875	-0.327433628	-0.093103448	-1.375	1.569506726	-0.270386266	-1.46728972	-0.495956873	-0.112	-0.907721281	0.1	-0.160377358	-0.458536585	-1.464646465	0.564935065	-0.843575419	-0.950715421	-0.822580645	-0.813229572	0.117647059	-0.489051095	-0.487179487	-0.981751825	-0.923076923	1.419512195	1.568527919	0.71563981	0.026865672	2.919811321	-0.201923077	-0.316939891	-1.169871795	1.354948805	-0.349019608	-0.007142857	0.347368421	1.99382716	-1.414414414	-0.050925926	1.733333333	0.734042553	0.12033195	1.957142857	-1.59922179	0.899598394	-0.333333333	1.495049505	-0.832460733	2.473509934	2.954929577	1.528428094	-0.66507177	-1.293604651	-1.424068768	2.476190476	1.986899563	0.36997319
Q9H7C9	-0.313636364	0.449056604	-2.942622951	-2.161228407	-2.582995951	-3.172690763	-2.417721519	0.142857143	1.292207792	-0.788571429	0.515373353	0.723602484	-4.430894309	-2.462598425	1.92	-0.319148936	0.752475248	-0.192389006	-0.141509434	-2.546511628	0.618025751	-3.004975124	0.942176871	-1.189516129	2.615702479	-0.201646091	-1.683168317	0.767527675	-0.460580913	1.377777778	-0.307692308	-0.02962963	1.311764706	0.303030303	-0.258992806	-1.491071429	-0.367256637	-0.351724138	3.163461538	2.399103139	1.30472103	2.079439252	0.582210243	2.448	-0.670433145	-0.954166667	0.537735849	0.829268293	0.737373737	3.649350649	0.282122905	1.910969793	-0.512096774	2.494163424	0.286764706	0.879562044	3.196581197	1.346715328	-0.352941176	-1.517073171	-0.197969543	-6.36492891	2.704477612	-0.632075472	3.620192308	2.989071038	0.605769231	0.825938567	0.419607843	0.575	-1.805263158	0.512345679	-1.247747748	0.083333333	-0.374603175	-0.063829787	0.390041494	0.252380952	2.579766537	1.83935743	4	0.04290429	-0.256544503	0.407284768	0.667605634	-1.257525084	-1.153110048	0.406976744	0.332378223	0.752380952	-2.305676856	1.042895442
Q13685	1.545454545	-0.328301887	-2.68852459	-1.424184261	0.299595142	0.124497992	-0.180379747	-0.063829787	1.818181818	-0.700952381	1.370424597	-0.51242236	-0.227642276	-0.659448819	0.593846154	0.34893617	0.301980198	-0.742071882	-0.683962264	-1.003875969	-1.223175966	0.169154229	0.846938776	2.036290323	1.289256198	-0.489711934	-0.569306931	-0.560885609	0.813278008	-0.788888889	-0.728205128	-0.018518519	0.508823529	0.707070707	-1.165467626	1.183035714	-0.756637168	0.589655172	0.028846154	-0.121076233	0.47639485	-0.406542056	-0.557951482	-0.372	2.271186441	1.483333333	-0.495283019	-1.990243902	-0.631313131	0.954545455	-0.053072626	-0.782193959	-2.032258065	1	-0.779411765	-0.989051095	-1.294871795	0.051094891	-2.171945701	-2.419512195	0.233502538	-1.492890995	0.749253731	0.452830189	-1.096153846	1.333333333	0.551282051	-0.088737201	0.68627451	-1.178571429	0.005263158	0.666666667	0.162162162	0.680555556	1.561904762	-2.069148936	0.838174274	-0.042857143	-1.050583658	-0.726907631	-2.282945736	-2.778877888	-1.251308901	-0.635761589	-0.74084507	-1.548494983	-1.090909091	0.575581395	0.406876791	-1.433333333	-1.720524017	0.581769437
Q9Y312	-1.159090909	1.452830189	2.356557377	1.370441459	1.425101215	-0.357429719	1.85443038	0.401215805	0.262987013	1.192380952	1.180087848	0.208074534	-0.321138211	0.927165354	-0.055384615	0.536170213	-0.663366337	-2.11205074	2.485849057	-0.058139535	-0.961373391	-0.039800995	0.391156463	0.040322581	-0.305785124	0.386831276	2.128712871	-0.867158672	-1.01659751	-0.983333333	-1.035897436	-0.403703704	0.438235294	-1.279461279	-0.651079137	0.732142857	0.314159292	0.234482759	1.480769231	-1.228699552	0.699570815	-0.38317757	0.552560647	1.672	0.497175141	0.35	1.136792453	1.487804878	1.633838384	0.11038961	0.969273743	0.069952305	0.524193548	0.054474708	-0.459558824	0.324817518	-0.034188034	2.193430657	-0.199095023	-0.556097561	-0.182741117	1.582938389	1.385074627	-1.056603774	-0.096153846	0.366120219	1.25	-0.941979522	-0.933333333	0.975	0.084210526	-0.395061728	0.441441441	1.268518519	0.584126984	-0.324468085	1.319502075	0.657142857	0.167315175	-0.670682731	-0.019379845	0.059405941	0.612565445	-1.549668874	-0.977464789	-0.384615385	-0.306220096	1.345930233	0.833810888	-1.39047619	-2.008733624	0.91152815
Q5JTZ9	1.572727273	-1.19245283	-0.721311475	0.664107486	1.271255061	0.626506024	-1.189873418	0.547112462	-0.457792208	1.135238095	-1.25329429	0.173913043	-0.138211382	0.328740157	0.910769231	1.638297872	-0.920792079	-0.065539112	-0.773584906	-1.833333333	0.896995708	1.810945274	-0.472789116	1.491935484	1.73553719	-0.814814815	1.297029703	-0.509225092	0.165975104	0.65	0.020512821	-0.774074074	-0.344117647	0.67003367	0.496402878	1.660714286	0.438053097	-2.134482759	-0.408653846	-1.094170404	1.738197425	0.102803738	-1.401617251	-2.164	0.399246704	-0.0875	1.193396226	0.268292683	-1.161616162	0.11038961	-0.139664804	-0.311605723	-0.903225806	-0.750972763	-1.996323529	0.102189781	1.034188034	-1.295620438	2.040723982	-0.492682927	-1.14213198	0.232227488	1.382089552	1.523584906	-0.918269231	-1.344262295	0.884615385	0.716723549	-0.545098039	1.142857143	3.605263158	-3.543209877	-0.445945946	-0.00462963	-0.4	-1.095744681	-2.141078838	-2.19047619	0.840466926	-0.297188755	0.26744186	-0.801980198	-0.35078534	0.28807947	-0.988732394	-0.535117057	1.428229665	0.313953488	-0.773638968	-0.7	-1.179039301	-0.402144772
Q9BTE6	0.781818182	-1.649056604	0.467213115	-1.516314779	-1.287449393	-0.634538153	1.493670886	-1.26443769	-0.00974026	0.35047619	1.294289898	-0.872670807	-1.142276423	1.488188976	0.578461538	-0.514893617	0.579207921	0.416490486	0.240566038	0.30620155	-1.733905579	0.004975124	2.408163265	-1.080645161	0.851239669	-0.757201646	-0.722772277	0.915129151	0.68879668	-0.744444444	-0.307692308	-0.218518519	0.108823529	-0.612794613	-1.618705036	1.035714286	-1.884955752	-2.348275862	-0.721153846	-0.152466368	-2.180257511	0.191588785	0.013477089	0.28	-0.888888889	0.716666667	0.844339623	-0.902439024	-0.093434343	-0.707792208	-1.720670391	1.669316375	-1.080645161	0.241245136	0.411764706	0.755474453	-0.358974359	-0.200729927	-2.153846154	0.317073171	0.182741117	-2.09478673	-1.23880597	-1.306603774	0.100961538	-0.174863388	-0.442307692	0.167235495	-0.231372549	-0.703571429	-0.384210526	-0.716049383	0.085585586	-0.768518519	-0.644444444	-0.058510638	0.821576763	0.614285714	-0.077821012	-0.441767068	-1.352713178	0.323432343	-1.19895288	0.198675497	-0.242253521	-0.133779264	-1.394736842	-0.816860465	-0.11747851	0.385714286	-0.965065502	-1.246648794
Q9NRN7	-0.390909091	-1.641509434	-0.512295082	0.671785029	-0.927125506	-1.317269076	1.563291139	-2.103343465	-0.707792208	-1.87047619	0.377745242	-1.074534161	0.113821138	1.612204724	0.258461538	-0.663829787	0.193069307	-0.137420719	-0.471698113	1.042635659	0.321888412	1	1.176870748	-0.080645161	0.714876033	-0.917695473	1.663366337	0.852398524	-0.257261411	0.538888889	-0.338461538	0.437037037	0.526470588	-0.575757576	-0.604316547	1.21875	-0.955752212	0.062068966	-0.817307692	0.793721973	-0.583690987	-1.219626168	-0.684636119	1.524	-0.542372881	-0.520833333	-0.221698113	-0.048780488	1.674242424	-0.454545455	-0.203910615	0.413354531	-0.758064516	-0.054474708	-1.040441176	0.357664234	0.615384615	0.175182482	-1.583710407	-0.804878049	2.025380711	0.308056872	1.023880597	-0.58490566	1.264423077	0.136612022	-1.128205128	0.443686007	-1.176470588	-0.710714286	-0.094736842	0.641975309	0.085585586	-0.171296296	0.371428571	-0.468085106	0.68879668	0.876190476	-0.778210117	-0.658634538	-0.089147287	0.165016502	-1.476439791	0.314569536	0.54084507	-0.317725753	-1.557416268	-0.261627907	0.406876791	-0.404761905	0.489082969	0.815013405
